,Instance,Model,X,Y,R_sq_log,Score
349,CSEH7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 1.2844068  -0.27608458]
 [ 1.15441641 -0.61074108]
 [ 1.09045668 -0.72270856]
 ...
 [-2.56776161 11.6995146 ]
 [-2.47446786 11.9165254 ]
 [-2.39045026 12.06710963]]","[[9.24934974]
 [5.27916807]
 [8.63840935]
 ...
 [2.66768603]
 [1.87965105]
 [2.199666  ]]",1.5551030502006764
350,CSHE7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.61699037 -0.16391304]
 [-0.611367   -0.16519042]
 [-0.60539317 -0.15955456]
 ...
 [ 0.59611139 -0.14113809]
 [ 0.60204338 -0.13685764]
 [ 0.60804447 -0.12589831]]","[[ 7.5011901 ]
 [ 5.510948  ]
 [10.58718328]
 ...
 [ 6.62143058]
 [ 7.30564497]
 [ 7.85162194]]",1.2808341316773886
351,CSHE7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.70921988 -0.21694219]
 [ 0.70304862 -0.23432357]
 [ 0.69305992 -0.24329054]
 ...
 [-0.66829729 -0.19731445]
 [-0.67985147 -0.17997303]
 [-0.69277937 -0.15714979]]","[[ 9.81677705]
 [ 8.87727937]
 [14.51146545]
 ...
 [ 5.58511035]
 [ 5.0070031 ]
 [ 7.08904715]]",1.5635486929078095
352,CSHE7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.090585    0.04056316]
 [ 0.10126353  0.05833502]
 [ 0.11336502  0.08075812]
 ...
 [ 1.28924142 -0.16956348]
 [ 1.30111562 -0.14796428]
 [ 1.31384616 -0.12275423]]","[[4.15595782]
 [4.63183871]
 [5.41139813]
 ...
 [4.71553921]
 [5.64244554]
 [5.26121153]]",1.527139784823099
353,CSHE7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[  6.42040365 -55.06145573]
 [  8.00453565 -53.36220332]
 [  9.32400549 -51.21139936]
 ...
 [  3.98753123  51.65348761]
 [  1.77991694  54.28812803]
 [ -0.24530214  55.86639843]]","[[ 5.52134044]
 [20.68548348]
 [ 0.44077722]
 ...
 [ 1.11261575]
 [ 0.77228882]
 [ 1.30457806]]",0.5979722352641075
354,CSHE7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 1.7784947   4.38995662]
 [ 1.6340823   4.03522388]
 [ 1.62595227  3.86453348]
 ...
 [11.75767329  9.86640611]
 [10.78054968  9.89875196]
 [ 9.86202102  9.6453948 ]]","[[4.70766807]
 [3.31177618]
 [2.24944033]
 ...
 [4.32407506]
 [2.60824236]
 [3.10478267]]",1.4797660673472344
355,CSHH7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.40447277 -0.21233293]
 [ 0.42506972 -0.21258227]
 [ 0.44695981 -0.2062781 ]
 ...
 [-0.48136653 -0.07776034]
 [-0.45963153 -0.0727365 ]
 [-0.4376344  -0.06142687]]","[[6.43502135]
 [2.61015134]
 [7.35393921]
 ...
 [5.16557087]
 [6.43209225]
 [6.09194461]]",1.6589727766329823
356,CSHH7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.51294028 -0.21122406]
 [ 0.53877739 -0.22812965]
 [ 0.56215753 -0.23705233]
 ...
 [-0.59602881 -0.22216627]
 [-0.56059902 -0.21622076]
 [-0.53941883 -0.19070165]]","[[ 9.60363767]
 [14.28608376]
 [14.72744637]
 ...
 [ 8.96958087]
 [ 7.68854777]
 [ 9.51896723]]",1.9735870464017604
357,CSHH7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.02342506  0.1007579 ]
 [ 0.01450272  0.12573183]
 [ 0.00613481  0.15420769]
 ...
 [ 0.9342031  -0.10407195]
 [ 0.92568482 -0.07616162]
 [ 0.91812005 -0.04608197]]","[[4.62214845]
 [4.25679348]
 [5.12350649]
 ...
 [0.58927427]
 [5.35985864]
 [4.86044051]]",1.8681058736945524
358,CSHH7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 54.06994152 -12.94683332]
 [ 53.59719755 -10.0615234 ]
 [ 52.17432402  -8.67962884]
 ...
 [-51.24121744   9.28288914]
 [-53.23895707   6.97519163]
 [-54.43520966   5.03764387]]","[[0.30855135]
 [0.05073439]
 [0.16165942]
 ...
 [1.23944467]
 [1.93108429]
 [2.23412252]]",0.5734607624231923
359,CSHH7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 9.36266937  3.53777047]
 [ 9.3439952   3.2043587 ]
 [ 9.30476983  3.05845252]
 ...
 [-5.72741032  6.85354667]
 [-5.117969    7.46139199]
 [-4.30119587  7.77499924]]","[[4.58844368]
 [3.55723873]
 [4.51355313]
 ...
 [3.47695109]
 [2.77834434]
 [4.66907029]]",1.5582935388757264
360,CCEE7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.06193203  0.24748254]
 [-0.09092407  0.26026456]
 [-0.12152363  0.26869937]
 ...
 [ 0.42633677 -0.18193535]
 [ 0.44954543 -0.16028302]
 [ 0.46931529 -0.13552307]]","[[9.71239498]
 [8.86757119]
 [8.80574429]
 ...
 [5.35548193]
 [5.00299472]
 [6.6144817 ]]",2.120085347540596
361,CCEE7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.24174554  0.21718995]
 [-0.28018611  0.19447929]
 [-0.31782035  0.16955501]
 ...
 [ 0.69593313 -0.00640591]
 [ 0.73009065 -0.00723438]
 [ 0.7637544  -0.00824219]]","[[11.81340531]
 [22.16141594]
 [20.44397985]
 ...
 [ 5.56934049]
 [ 6.75275031]
 [ 7.40001546]]",2.0302244705544474
362,CCEE7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.03657142 -0.10081169]
 [ 0.03254547 -0.13136496]
 [ 0.03164586 -0.16285267]
 ...
 [ 0.19798922  0.43771072]
 [ 0.18008845  0.45737856]
 [ 0.16065576  0.4731833 ]]","[[5.80474041]
 [1.21383133]
 [5.57760809]
 ...
 [5.46622133]
 [4.06487063]
 [5.55795047]]",1.7543102153059078
363,CCEE7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 10.06861353 -16.3134316 ]
 [  8.43767988 -16.25170156]
 [  6.94347301 -16.08936052]
 ...
 [ 26.32946692  34.13444597]
 [ 26.87365451  35.3539538 ]
 [ 27.37964287  36.45013504]]","[[2.32520931]
 [1.93262115]
 [2.55665684]
 ...
 [0.14836301]
 [0.08119101]
 [0.11740253]]",0.503024843776328
364,CCEE7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 1.86886839  6.12588406]
 [ 1.50007419  5.87734621]
 [ 1.36525218  5.84485987]
 ...
 [-6.54056643 12.46313862]
 [-6.76683379 12.53093023]
 [-6.95610757 12.58966832]]","[[11.07877283]
 [ 4.90722659]
 [ 8.91134007]
 ...
 [ 1.18617201]
 [ 2.42934626]
 [ 3.61002257]]",1.4068843486326006
